exchange,tradingsymbol
NSE,20MICRONS
NSE,360ONE
NSE,3MINDIA
NSE,5PAISA
NSE,63MOONS
NSE,AADHARHFC
NSE,AARTIDRUGS
NSE,AARTIIND
NSE,AARTIPHARM
NSE,AAVAS
NSE,ABB
NSE,ABBOTINDIA
NSE,ABCAPITAL
NSE,ABDL
NSE,ABFRL
NSE,ABLBL
NSE,ABREL
NSE,ABSLAMC
NSE,ABSLBANETF
NSE,ACC
NSE,ACCELYA
NSE,ACE
NSE,ACI
NSE,ACMESOLAR
NSE,ACUTAAS
NSE,ADANIENSOL
NSE,ADANIENT
NSE,ADANIGREEN
NSE,ADANIPORTS
NSE,ADANIPOWER
NSE,ADFFOODS
NSE,ADOR
NSE,ADSL
NSE,ADVAIT
NSE,ADVANCE
NSE,ADVENTHTL
NSE,ADVENZYMES
NSE,AEGISLOG
NSE,AEGISVOPAK
NSE,AEROENTER
NSE,AEROFLEX
NSE,AETHER
NSE,AFCONS
NSE,AFFLE
NSE,AFFORDABLE
NSE,AGARIND
NSE,AGARWALEYE
NSE,AGI
NSE,AGIIL
NSE,AHLUCONT
NSE,AIAENG
NSE,AIIL
NSE,AJANTPHARM
NSE,AJAXENGG
NSE,AJMERA
NSE,AKUMS
NSE,AKZOINDIA
NSE,ALEMBICLTD
NSE,ALIVUS
NSE,ALKEM
NSE,ALKYLAMINE
NSE,ALLCARGO
NSE,ALLTIME
NSE,ALOKINDS
NSE,ALPHA
NSE,AMANTA
NSE,AMBER
NSE,AMBUJACEM
NSE,ANANDRATHI
NSE,ANANTRAJ
NSE,ANDHRSUGAR
NSE,ANGELONE
NSE,ANTELOPUS
NSE,ANTHEM
NSE,ANUP
NSE,ANURAS
NSE,APARINDS
NSE,APCOTEXIND
NSE,APEX
NSE,APLAPOLLO
NSE,APLLTD
NSE,APOLLO
NSE,APOLLOHOSP
NSE,APOLLOPIPE
NSE,APOLLOTYRE
NSE,APTECHT
NSE,APTUS
NSE,ARE&M
NSE,ARIES
NSE,ARIHANTCAP
NSE,ARISINFRA
NSE,ARKADE
NSE,ARMANFIN
NSE,ARSSBL
NSE,ARTEMISMED
NSE,ARVIND
NSE,ARVINDFASN
NSE,ARVSMART
NSE,ASAHIINDIA
NSE,ASAL
NSE,ASALCBR
NSE,ASHAPURMIN
NSE,ASHIANA
NSE,ASHOKA
NSE,ASHOKLEY
NSE,ASIANENE
NSE,ASIANPAINT
NSE,ASIANTILES
NSE,ASKAUTOLTD
NSE,ASTEC
NSE,ASTERDM
NSE,ASTRAL
NSE,ASTRAMICRO
NSE,ASTRAZEN
NSE,ATGL
NSE,ATHERENERG
NSE,ATLANTAELE
NSE,ATUL
NSE,ATULAUTO
NSE,AUBANK
NSE,AURIONPRO
NSE,AUROPHARMA
NSE,AURUM
NSE,AUTOAXLES
NSE,AUTOBEES
NSE,AUTOIETF
NSE,AVALON
NSE,AVANTEL
NSE,AVANTIFEED
NSE,AVL
NSE,AWFIS
NSE,AWHCL
NSE,AWL
NSE,AXISBANK
NSE,AXISGOLD
NSE,AXISILVER
NSE,AZAD
NSE,BAJAJ-AUTO
NSE,BAJAJCON
NSE,BAJAJELEC
NSE,BAJAJFINSV
NSE,BAJAJHCARE
NSE,BAJAJHFL
NSE,BAJAJHIND
NSE,BAJAJHLDNG
NSE,BAJEL
NSE,BAJFINANCE
NSE,BALAJITELE
NSE,BALAMINES
NSE,BALKRISIND
NSE,BALMLAWRIE
NSE,BALRAMCHIN
NSE,BALUFORGE
NSE,BANARISUG
NSE,BANCOINDIA
NSE,BANDHANBNK
NSE,BANKBARODA
NSE,BANKBEES
NSE,BANKIETF
NSE,BANKINDIA
NSE,BANKNIFTY1
NSE,BANSALWIRE
NSE,BASF
NSE,BASML
NSE,BATAINDIA
NSE,BAYERCROP
NSE,BBETF0432
NSE,BBL
NSE,BBOX
NSE,BBTC
NSE,BCG
NSE,BCLIND
NSE,BDL
NSE,BECTORFOOD
NSE,BEL
NSE,BELRISE
NSE,BEML
NSE,BEPL
NSE,BERGEPAINT
NSE,BETA
NSE,BHAGCHEM
NSE,BHAGERIA
NSE,BHARATFORG
NSE,BHARATRAS
NSE,BHARATWIRE
NSE,BHARTIARTL
NSE,BHARTIHEXA
NSE,BHEL
NSE,BIKAJI
NSE,BIL
NSE,BIOCON
NSE,BIRLACORPN
NSE,BIRLANU
NSE,BLACKBUCK
NSE,BLISSGVS
NSE,BLKASHYAP
NSE,BLS
NSE,BLSE
NSE,BLUECLOUDS
NSE,BLUEDART
NSE,BLUEJET
NSE,BLUESTARCO
NSE,BLUESTONE
NSE,BMWVENTLTD
NSE,BOMDYEING
NSE,BOROLTD
NSE,BORORENEW
NSE,BOSCHLTD
NSE,BPCL
NSE,BRIGADE
NSE,BRIGHOTEL
NSE,BRITANNIA
NSE,BSE
NSE,BSLGOLDETF
NSE,BSLNIFTY
NSE,BSOFT
NSE,BYKE
NSE,CAMLINFINE
NSE,CAMPUS
NSE,CAMS
NSE,CANBK
NSE,CANFINHOME
NSE,CANHLIFE
NSE,CANTABIL
NSE,CAPACITE
NSE,CAPILLARY
NSE,CAPLIPOINT
NSE,CARBORUNIV
NSE,CARERATING
NSE,CARRARO
NSE,CARTRADE
NSE,CARYSIL
NSE,CASTROLIND
NSE,CCL
NSE,CDSL
NSE,CEATLTD
NSE,CEIGALL
NSE,CELLO
NSE,CEMPRO
NSE,CENTRALBK
NSE,CENTRUM
NSE,CENTUM
NSE,CENTURYPLY
NSE,CERA
NSE,CESC
NSE,CEWATER
NSE,CGCL
NSE,CGPOWER
NSE,CHALET
NSE,CHAMBLFERT
NSE,CHEMPLASTS
NSE,CHENNPETRO
NSE,CHOICEGOLD
NSE,CHOICEIN
NSE,CHOLAFIN
NSE,CHOLAHLDNG
NSE,CIEINDIA
NSE,CIFL
NSE,CIGNITITEC
NSE,CIPLA
NSE,CLEAN
NSE,CMSINFO
NSE,COALINDIA
NSE,COCHINSHIP
NSE,COFORGE
NSE,COHANCE
NSE,COLPAL
NSE,CONCOR
NSE,CONCORDBIO
NSE,CONFIPET
NSE,CONSUMBEES
NSE,CONTROLPR
NSE,CORDSCABLE
NSE,COROMANDEL
NSE,COSMOFIRST
NSE,CPPLUS
NSE,CPSEETF
NSE,CRAFTSMAN
NSE,CRAMC
NSE,CREDITACC
NSE,CREST
NSE,CRISIL
NSE,CRIZAC
NSE,CROMPTON
NSE,CROWN
NSE,CSBBANK
NSE,CUB
NSE,CUMMINSIND
NSE,CUPID
NSE,CYIENT
NSE,CYIENTDLM
NSE,DABUR
NSE,DALBHARAT
NSE,DALMIASUG
NSE,DAMCAPITAL
NSE,DATAMATICS
NSE,DATAPATTNS
NSE,DBCORP
NSE,DBL
NSE,DBOL
NSE,DBREALTY
NSE,DCAL
NSE,DCBBANK
NSE,DCMSHRIRAM
NSE,DCMSRIND
NSE,DCW
NSE,DCXINDIA
NSE,DDEVPLSTIK
NSE,DECCANCE
NSE,DECNGOLD
NSE,DEEDEV
NSE,DEEPAKFERT
NSE,DEEPAKNTR
NSE,DEEPINDS
NSE,DELHIVERY
NSE,DELPHIFX
NSE,DELTACORP
NSE,DEN
NSE,DENTA
NSE,DEVYANI
NSE,DHAMPURSUG
NSE,DHANBANK
NSE,DHANUKA
NSE,DHARMAJ
NSE,DIACABS
NSE,DIAMONDYD
NSE,DIFFNKG
NSE,DIGITIDE
NSE,DIVISLAB
NSE,DIXON
NSE,DJML
NSE,DLF
NSE,DLINKINDIA
NSE,DMART
NSE,DODLA
NSE,DOLATALGO
NSE,DOLLAR
NSE,DOMS
NSE,DONEAR
NSE,DPABHUSHAN
NSE,DRAGARWQ
NSE,DREAMFOLKS
NSE,DREDGECORP
NSE,DRREDDY
NSE,DSSL
NSE,DWARKESH
NSE,DYCL
NSE,DYNAMATECH
NSE,E2E
NSE,EASEMYTRIP
NSE,EBBETF0430
NSE,EBBETF0431
NSE,EBBETF0433
NSE,EBGNG
NSE,ECLERX
NSE,ECOSMOBLTY
NSE,EDELWEISS
NSE,EFCIL
NSE,EICHERMOT
NSE,EIDPARRY
NSE,EIEL
NSE,EIHAHOTELS
NSE,EIHOTEL
NSE,EIMCOELECO
NSE,EKC
NSE,ELECON
NSE,ELECTCAST
NSE,ELECTHERM
NSE,ELGIEQUIP
NSE,ELIN
NSE,ELLEN
NSE,EMAMILTD
NSE,EMBDL
NSE,EMCURE
NSE,EMIL
NSE,EMMVEE
NSE,EMSLIMITED
NSE,EMUDHRA
NSE,ENDURANCE
NSE,ENGINERSIN
NSE,ENRIN
NSE,ENTERO
NSE,EPACK
NSE,EPACKPEB
NSE,EPIGRAL
NSE,EPL
NSE,EQUAL50ADD
NSE,EQUITASBNK
NSE,ERIS
NSE,ESABINDIA
NSE,ESCORTS
NSE,ESILVER
NSE,ESTER
NSE,ETERNAL
NSE,ETHOSLTD
NSE,EUREKAFORB
NSE,EUROPRATIK
NSE,EVEREADY
NSE,EXCELSOFT
NSE,EXICOM
NSE,EXIDEIND
NSE,EXPLEOSOL
NSE,FABTECH
NSE,FACT
NSE,FAIRCHEMOR
NSE,FAZE3Q
NSE,FCL
NSE,FDC
NSE,FEDDERSHOL
NSE,FEDERALBNK
NSE,FEDFINA
NSE,FIEMIND
NSE,FILATEX
NSE,FINCABLES
NSE,FINEORG
NSE,FINIETF
NSE,FINOPB
NSE,FINPIPE
NSE,FIRSTCRY
NSE,FISCHER
NSE,FIVESTAR
NSE,FLAIR
NSE,FLUOROCHEM
NSE,FMCGIETF
NSE,FMGOETZE
NSE,FORCEMOT
NSE,FORTIS
NSE,FOSECOIND
NSE,FRONTSP
NSE,FSL
NSE,FUSION
NSE,GABRIEL
NSE,GAEL
NSE,GAIL
NSE,GALAXYSURF
NSE,GALLANTT
NSE,GANDHAR
NSE,GANECOS
NSE,GANESHBE
NSE,GANESHCP
NSE,GANESHHOU
NSE,GARFIBRES
NSE,GARUDA
NSE,GATEWAY
NSE,GEMAROMA
NSE,GENCON
NSE,GENESYS
NSE,GENUSPOWER
NSE,GEOJITFSL
NSE,GESHIP
NSE,GHCL
NSE,GICHSGFIN
NSE,GICRE
NSE,GILLETTE
NSE,GIPCL
NSE,GKENERGY
NSE,GLAND
NSE,GLAXO
NSE,GLENMARK
NSE,GLOBECIVIL
NSE,GLOBUSSPR
NSE,GLOTTIS
NSE,GMBREW
NSE,GMDCLTD
NSE,GMMPFAUDLR
NSE,GMRAIRPORT
NSE,GMRP&UI
NSE,GNA
NSE,GNFC
NSE,GOCLCORP
NSE,GOCOLORS
NSE,GODAVARIB
NSE,GODFRYPHLP
NSE,GODIGIT
NSE,GODREJAGRO
NSE,GODREJCP
NSE,GODREJIND
NSE,GODREJPROP
NSE,GOKEX
NSE,GOKULAGRO
NSE,GOLD1
NSE,GOLDBEES
NSE,GOLDCASE
NSE,GOLDETF
NSE,GOLDETFADD
NSE,GOLDIAM
NSE,GOLDIETF
NSE,GOLDSHARE
NSE,GOODLUCK
NSE,GOPAL
NSE,GPIL
NSE,GPPL
NSE,GPTHEALTH
NSE,GPTINFRA
NSE,GRANULES
NSE,GRAPHITE
NSE,GRASIM
NSE,GRAVITA
NSE,GREAVESCOT
NSE,GREENLAM
NSE,GREENPANEL
NSE,GREENPLY
NSE,GREENPOWER
NSE,GRINDWELL
NSE,GRINFRA
NSE,GRMOVER
NSE,GROWW
NSE,GROWWDEFNC
NSE,GROWWGOLD
NSE,GROWWSLVR
NSE,GRPLTD
NSE,GRSE
NSE,GRWRHITECH
NSE,GSFC
NSE,GSPL
NSE,GUFICBIO
NSE,GUJALKALI
NSE,GUJGASLTD
NSE,GUJTHEM
NSE,GULFOILLUB
NSE,GVPIL
NSE,GVT&D
NSE,HAL
NSE,HAPPSTMNDS
NSE,HAPPYFORGE
NSE,HARDWYN
NSE,HARIOMPIPE
NSE,HARSHA
NSE,HATHWAY
NSE,HATSUN
NSE,HAVELLS
NSE,HBLENGINE
NSE,HCC
NSE,HCG
NSE,HCLTECH
NSE,HDBFS
NSE,HDFCAMC
NSE,HDFCBANK
NSE,HDFCGOLD
NSE,HDFCLIFE
NSE,HDFCNIFBAN
NSE,HDFCNIFTY
NSE,HDFCSENSEX
NSE,HDFCSILVER
NSE,HDFCSML250
NSE,HEG
NSE,HEIDELBERG
NSE,HEMIPROP
NSE,HERITGFOOD
NSE,HEROMOTOCO
NSE,HEXT
NSE,HFCL
NSE,HGINFRA
NSE,HIKAL
NSE,HILINFRA
NSE,HIMATSEIDE
NSE,HINDALCO
NSE,HINDCOPPER
NSE,HINDOILEXP
NSE,HINDPETRO
NSE,HINDUNILVR
NSE,HINDWAREAP
NSE,HINDZINC
NSE,HIRECT
NSE,HITECH
NSE,HLEGLAS
NSE,HMAAGRO
NSE,HNDFDS
NSE,HOMEFIRST
NSE,HONASA
NSE,HONAUT
NSE,HONDAPOWER
NSE,HPL
NSE,HSCL
NSE,HUBTOWN
NSE,HUDCO
NSE,HUHTAMAKI
NSE,HYUNDAI
NSE,ICICIB22
NSE,ICICIBANK
NSE,ICICIGI
NSE,ICICIPRULI
NSE,ICIL
NSE,ICRA
NSE,IDBI
NSE,IDEA
NSE,IDEAFORGE
NSE,IDFCFIRSTB
NSE,IEX
NSE,IFBIND
NSE,IFCI
NSE,IGARASHI
NSE,IGCL
NSE,IGIL
NSE,IGL
NSE,IIFL
NSE,IIFLCAPS
NSE,IKS
NSE,IMAGICAA
NSE,IMFA
NSE,INDGN
NSE,INDHOTEL
NSE,INDIACEM
NSE,INDIAGLYCO
NSE,INDIAMART
NSE,INDIANB
NSE,INDIANHUME
NSE,INDIASHLTR
NSE,INDIGO
NSE,INDIGOPNTS
NSE,INDIQUBE
NSE,INDNIPPON
NSE,INDOCO
NSE,INDOFARM
NSE,INDORAMA
NSE,INDOSTAR
NSE,INDOTECH
NSE,INDOWIND
NSE,INDRAMEDCO
NSE,INDUSINDBK
NSE,INDUSTOWER
NSE,INFIBEAM
NSE,INFRAIETF
NSE,INFY
NSE,INGERRAND
NSE,INNOVACAP
NSE,INOXGREEN
NSE,INOXINDIA
NSE,INOXWIND
NSE,INSECTICID
NSE,INTELLECT
NSE,INTERARCH
NSE,IOB
NSE,IOC
NSE,IOLCP
NSE,IONEXCHANG
NSE,IPCALAB
NSE,IPL
NSE,IRB
NSE,IRCON
NSE,IRCTC
NSE,IREDA
NSE,IRFC
NSE,IRISDOREME
NSE,IRMENERGY
NSE,ISGEC
NSE,ITBEES
NSE,ITC
NSE,ITCHOTELS
NSE,ITDC
NSE,ITETF
NSE,ITI
NSE,ITIETF
NSE,IVALUE
NSE,IXIGO
NSE,J&KBANK
NSE,JAGSNPHARM
NSE,JAIBALAJI
NSE,JAICORPLTD
NSE,JAINREC
NSE,JAMNAAUTO
NSE,JARO
NSE,JASH
NSE,JAYKAY
NSE,JAYNECOIND
NSE,JBCHEPHARM
NSE,JBMA
NSE,JCHAC
NSE,JGCHEM
NSE,JINDALPHOT
NSE,JINDALPOLY
NSE,JINDALSAW
NSE,JINDALSTEL
NSE,JINDRILL
NSE,JINDWORLD
NSE,JIOFIN
NSE,JISLJALEQS
NSE,JKCEMENT
NSE,JKIL
NSE,JKIPL
NSE,JKLAKSHMI
NSE,JKPAPER
NSE,JKTYRE
NSE,JLHL
NSE,JMFINANCIL
NSE,JNKINDIA
NSE,JPOLYINVST
NSE,JPPOWER
NSE,JSFB
NSE,JSL
NSE,JSLL
NSE,JSWCEMENT
NSE,JSWENERGY
NSE,JSWHL
NSE,JSWINFRA
NSE,JSWSTEEL
NSE,JTEKTINDIA
NSE,JTLIND
NSE,JUBLFOOD
NSE,JUBLINGREA
NSE,JUBLPHARMA
NSE,JUNIORBEES
NSE,JUNIPER
NSE,JUSTDIAL
NSE,JWL
NSE,JYOTHYLAB
NSE,JYOTICNC
NSE,JYOTIRES
NSE,JYOTISTRUC
NSE,KAJARIACER
NSE,KALAMANDIR
NSE,KALPATARU
NSE,KALYANKJIL
NSE,KAMATHOTEL
NSE,KAMDHENU
NSE,KANSAINER
NSE,KAPSTON
NSE,KARURVYSYA
NSE,KAYNES
NSE,KCP
NSE,KDDL
NSE,KEC
NSE,KECL
NSE,KEI
NSE,KELLTONTEC
NSE,KENNAMET
NSE,KERNEX
NSE,KFINTECH
NSE,KHAICHEM
NSE,KICL
NSE,KILITCH
NSE,KIMS
NSE,KIOCL
NSE,KIRIINDUS
NSE,KIRLFER
NSE,KIRLOSBROS
NSE,KIRLOSENG
NSE,KIRLOSIND
NSE,KIRLPNU
NSE,KITEX
NSE,KKCL
NSE,KLBRENG-B
NSE,KMEW
NSE,KNRCON
NSE,KOLTEPATIL
NSE,KOPRAN
NSE,KOTAKBANK
NSE,KOVAI
NSE,KPEL
